name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Clay Harbor,2.3,0.0,0.0,0.0,0.0,0.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clive Walford,0.0,0.0,0.0,0.0,0.9,0.0,7.7,2.3,0.0,0.0,1.3,0.0,0.0,0.4,4.4,2.0
Coby Fleener ,11.1,1.1,2.0,4.0,5.3,13.9,10.8,2.6,3.1,0.0,3.2,0.4,5.6,0.0,11.6,1.3
Cory Harkey,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Stevens,0.0,1.8,3.9,0.6,0.0,0.0,1.4,3.5,0.0,0.0,8.5,8.1,0.0,1.0,1.3,0.0
Crockett Gillmore,23.3,5.5,4.5,7.8,7.8,12.2,12.6,3.5,1.2,1.0,2.7,0.0,2.6,10.8,0.0,0.0
D.J. Williams,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Clark,2.4,8.2,5.3,0.0,12.2,1.3,6.6,5.4,0.0,16.1,8.4,1.9,6.6,4.1,3.9,1.3
Dallas Goedert,9.6,5.6,8.0,19.6,8.5,20.1,5.0,1.2,2.0,5.3,16.2,17.0,9.1,6.3,5.9,5.3
Dalton Schultz,1.6,17.3,6.8,15.2,1.1,5.5,3.2,8.3,6.8,10.5,4.9,6.4,4.9,8.4,3.6,10.5
Daniel Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.3
Daniel Coats,0.0,0.0,2.3,0.0,1.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Fells,9.2,7.8,0.0,5.0,9.2,0.0,1.7,0.0,5.0,0.0,0.0,2.1,3.0,0.0,4.8,4.2
Daniel Graham,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Rosario,1.7,1.4,1.3,0.0,3.5,0.0,2.5,1.1,0.8,1.2,1.1,0.0,0.0,0.9,0.6,3.5
Darcy Johnson ,0.0,0.0,0.0,4.1,0.0,0.0,0.0,1.9,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Daniels,0.0,0.9,0.0,0.0,0.0,0.0,0.0,3.4,0.0,4.7,0.6,0.0,8.6,0.0,0.7,1.2
Darren Fells,0.0,2.9,9.3,0.0,3.1,12.7,17.5,0.0,3.6,2.0,3.9,0.0,0.0,2.0,0.0,8.7
Darren Waller,7.5,22.3,1.9,11.3,13.3,14.0,5.3,10.7,5.2,18.3,4.3,38.5,11.0,25.5,13.7,20.2
David Johnson ,0.0,1.0,0.0,3.1,0.0,0.0,1.0,2.0,0.7,0.0,0.0,0.0,2.0,1.7,0.0,0.0
David Martin ,6.9,0.0,0.0,0.0,1.6,0.0,2.5,0.0,0.5,1.8,0.0,0.0,0.5,0.0,0.0,0.0
David Morgan,0.0,0.0,0.0,3.6,5.0,1.4,2.9,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Njoku,11.7,0.0,0.9,0.0,1.1,1.2,9.0,2.4,0.0,0.0,0.0,1.0,6.0,2.7,4.6,2.3
David Paulson,0.0,6.4,1.1,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
David Thomas,1.4,1.0,0.0,0.0,1.1,0.0,9.7,0.0,0.0,0.0,0.0,10.4,0.0,9.1,6.8,0.0
Delanie Walker,9.3,12.2,14.3,14.8,6.7,10.2,4.8,3.4,7.2,20.0,5.9,9.9,0.9,1.5,5.8,0.0
Demetrius Harris,0.0,0.0,0.0,3.0,1.1,1.4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Pitta,5.4,14.7,7.2,3.2,9.4,6.6,6.0,2.4,5.6,4.5,4.9,25.5,3.8,2.6,11.5,14.6
Desmond Clark,2.8,1.8,4.7,2.9,0.0,1.2,1.2,1.3,0.0,12.4,7.7,0.0,0.0,1.7,0.0,0.0
Dion Sims,0.0,3.0,0.2,1.0,4.2,1.4,2.9,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Lee ,0.0,0.5,0.0,0.0,0.0,7.4,6.6,1.6,0.0,0.0,0.7,5.9,6.4,0.0,0.5,1.9
Durham Smythe,1.3,0.0,0.0,1.2,4.0,6.9,2.6,2.4,7.9,0.0,3.4,2.6,2.9,6.5,1.6,3.8
Dustin Keller,4.7,6.5,20.1,2.7,5.4,8.8,11.7,14.0,1.2,1.1,18.8,10.2,6.2,2.6,14.9,2.7
Dwayne Allen,1.5,3.6,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,2.6,1.5,0.0,0.0,0.0
Ed Dickson,2.0,2.8,0.0,0.0,0.0,3.2,12.4,0.0,2.9,8.0,2.3,0.0,0.9,2.4,9.4,0.9
Eric Ebron,6.4,2.3,5.8,13.7,4.8,1.9,8.0,12.8,9.7,4.8,11.6,8.9,10.3,4.0,0.0,13.2
Eric Saubert,0.0,0.0,2.5,0.0,0.0,0.0,1.6,1.5,0.0,0.8,0.0,0.0,0.9,0.0,0.0,1.4
Eric Tomlinson,1.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Engram,1.9,9.5,3.7,6.5,9.0,4.0,7.899999999999999,9.5,13.3,2.5,13.9,5.2,2.8,6.6,10.5,2.7
Fred Davis,2.5,12.5,9.0,7.9,6.1,1.8,3.2,0.8,0.0,0.0,0.0,2.3,0.0,8.8,1.4,0.0
Garrett Celek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Graham,0.8,0.0,3.4,0.0,0.0,10.4,6.1,0.0,0.0,7.2,1.4,1.1,1.3,0.0,0.0,0.0
Gary Barnidge,0.0,5.7,9.1,9.2,10.1,7.4,9.6,5.7,3.8,1.3,9.3,1.6,4.2,4.5,6.7,12.5
Gavin Escobar,0.0,0.0,0.0,0.0,0.0,6.7,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
Geoff Swaim,4.4,3.7,2.9,1.3,3.2,0.9,1.0,0.0,2.0,0.0,0.0,1.4,4.5,0.0,10.9,0.0
